Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
68,Jaylen Brown\brownja02,SF,23,BOS,38,38,33.7,7.3,14.8,.495,2.1,5.4,.390,5.2,9.4,.555,.566,3.4,4.5,.749,1.1,5.5,6.6,2.4,1.2,0.3,2.3,2.9,20.1
69,Moses Brown\brownmo01,C,20,POR,7,0,3.3,0.6,1.3,.444,0.0,0.0,,0.6,1.3,.444,.444,0.3,0.6,.500,0.4,1.1,1.6,0.0,0.1,0.0,0.4,0.7,1.4
70,Sterling Brown\brownst02,SF,24,MIL,32,0,14.9,1.8,4.7,.380,0.8,2.4,.338,1.0,2.3,.425,.467,0.7,0.9,.767,0.7,3.2,3.8,1.0,0.6,0.1,0.9,1.1,5.1
71,Troy Brown\browntr01,SG,20,WAS,43,14,26.0,4.1,8.7,.468,0.8,2.4,.353,3.3,6.4,.511,.516,1.6,2.1,.764,1.2,4.7,5.9,2.2,1.3,0.1,1.1,1.9,10.6
72,Jalen Brunson\brunsja01,PG,23,DAL,47,8,16.9,3.0,6.3,.466,0.7,2.0,.344,2.3,4.3,.525,.522,1.0,1.2,.789,0.4,1.9,2.3,3.1,0.4,0.1,1.1,1.3,7.6
73,Thomas Bryant\bryanth01,C,22,WAS,26,23,25.4,5.1,8.9,.569,0.5,1.7,.326,4.5,7.3,.624,.599,1.8,2.3,.767,2.0,5.3,7.3,2.3,0.4,0.8,1.4,2.2,12.5
74,Reggie Bullock\bullore01,SG,28,NYK,15,12,25.1,3.9,9.3,.417,1.5,4.7,.329,2.3,4.6,.507,.500,0.5,0.6,.778,0.5,1.5,2.1,1.3,1.2,0.0,0.5,2.3,9.7
75,Trey Burke\burketr01,PG,27,PHI,23,0,13.6,2.5,5.3,.479,0.7,1.6,.444,1.8,3.7,.494,.545,0.6,0.8,.722,0.6,0.9,1.5,2.2,0.3,0.0,0.5,0.8,6.3
76,Alec Burks\burksal01,SG,28,GSW,45,18,29.2,5.0,12.5,.401,1.6,4.5,.360,3.4,8.0,.424,.465,4.1,4.6,.898,0.8,4.0,4.8,3.2,1.0,0.3,1.6,2.3,15.8
77,Deonte Burton\burtode02,SG,26,OKC,30,0,8.5,1.1,3.1,.366,0.2,1.3,.179,0.9,1.8,.500,.403,0.2,0.4,.500,0.2,1.1,1.3,0.3,0.1,0.3,0.3,0.9,2.7
78,Jimmy Butler\butleji01,SF,30,MIA,41,41,34.8,5.9,13.3,.441,0.6,2.6,.245,5.2,10.7,.489,.465,7.9,9.5,.835,1.9,5.0,6.9,6.4,1.8,0.6,2.3,1.4,20.2
79,Bruno Caboclo\cabocbr01,SF,24,MEM,22,0,8.7,1.3,3.1,.406,0.2,1.1,.160,1.1,2.0,.545,.435,0.1,0.1,.667,0.8,1.2,2.0,0.5,0.5,0.5,0.3,1.0,2.8
80,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,46,20,25.7,3.5,7.4,.471,1.5,3.4,.430,2.0,4.0,.505,.571,1.3,1.6,.819,0.6,1.6,2.2,1.8,0.8,0.2,0.9,1.8,9.7
81,Vlatko Čančar\cancavl01,SF,22,DEN,9,0,1.8,0.2,0.6,.400,0.1,0.3,.333,0.1,0.2,.500,.500,0.2,0.2,1.000,0.1,0.2,0.3,0.3,0.1,0.0,0.1,0.1,0.8
82,Clint Capela\capelca01,C,25,HOU,39,39,32.8,6.3,9.9,.629,0.0,0.0,,6.3,9.9,.629,.629,1.4,2.7,.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9
83,DeMarre Carroll\carrode01,SF,33,SAS,15,0,9.0,0.6,1.9,.310,0.2,0.9,.231,0.4,1.1,.375,.362,0.8,1.3,.600,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2
84,Jevon Carter\carteje01,PG,24,PHO,32,2,13.4,1.3,3.5,.378,0.8,1.9,.393,0.6,1.6,.360,.486,0.2,0.3,.778,0.4,1.3,1.7,1.4,0.8,0.3,0.8,1.5,3.6
85,Vince Carter\cartevi01,SF,43,ATL,41,0,15.0,1.8,5.2,.340,1.0,3.6,.288,0.8,1.7,.449,.437,0.4,0.5,.714,0.2,1.8,2.0,1.0,0.4,0.4,0.6,1.5,5.0
86,Wendell Carter\cartewe01,C,20,CHI,37,37,30.0,4.5,8.4,.537,0.2,0.8,.214,4.3,7.6,.569,.547,2.6,3.5,.736,3.5,6.4,9.9,1.2,0.8,0.9,1.7,3.8,11.7
87,Michael Carter-Williams\cartemi01,SG,28,ORL,25,0,16.7,2.3,5.6,.411,0.4,1.5,.243,2.0,4.2,.471,.443,1.3,1.8,.750,0.9,2.2,3.1,2.2,1.0,0.4,0.9,1.6,6.3
88,Alex Caruso\carusal01,PG,25,LAL,43,0,18.9,1.9,4.6,.406,0.7,1.9,.346,1.2,2.7,.448,.477,1.1,1.4,.800,0.2,1.7,1.9,1.8,1.1,0.3,0.9,1.6,5.5
89,Willie Cauley-Stein\caulewi01,C,26,TOT,42,37,22.7,3.5,6.2,.559,0.0,0.0,,3.5,6.2,.559,.559,0.8,1.4,.614,1.7,4.4,6.1,1.5,1.1,1.2,0.8,2.5,7.8
89,Willie Cauley-Stein\caulewi01,C,26,GSW,41,37,22.9,3.5,6.3,.560,0.0,0.0,,3.5,6.3,.560,.560,0.9,1.4,.614,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5,7.9
89,Willie Cauley-Stein\caulewi01,C,26,DAL,1,0,12.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,2.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,4.0
90,Tyson Chandler\chandty01,C,37,HOU,25,5,8.8,0.6,0.7,.778,0.0,0.0,,0.6,0.7,.778,.778,0.2,0.5,.462,1.0,1.6,2.6,0.2,0.2,0.3,0.3,1.3,1.4
91,Wilson Chandler\chandwi01,SF,32,BRK,18,0,20.5,2.6,5.6,.460,1.1,3.3,.322,1.5,2.3,.659,.555,0.7,0.8,.857,0.3,4.2,4.4,1.2,0.6,0.3,1.1,2.2,6.8
92,Zylan Cheatham\cheatzy01,SF,24,NOP,3,0,10.3,0.7,1.7,.400,0.0,0.3,.000,0.7,1.3,.500,.400,0.0,0.0,,0.3,1.7,2.0,0.7,0.0,0.3,1.0,1.7,1.3
93,Chris Chiozza\chiozch01,PG,24,TOT,12,0,11.3,0.8,3.2,.263,0.6,1.5,.389,0.3,1.7,.150,.355,0.0,0.0,,0.0,1.4,1.4,2.5,0.9,0.2,0.8,1.0,2.3
93,Chris Chiozza\chiozch01,PG,24,WAS,10,0,12.3,1.0,3.4,.294,0.7,1.6,.438,0.3,1.8,.167,.397,0.0,0.0,,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7
93,Chris Chiozza\chiozch01,PG,24,BRK,2,0,6.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
94,Marquese Chriss\chrisma01,PF,22,GSW,43,5,18.0,2.9,5.6,.517,0.1,0.6,.231,2.7,5.0,.551,.529,1.8,2.4,.760,1.9,3.5,5.4,1.8,0.6,0.9,1.3,1.9,7.7
95,Gary Clark\clarkga01,PF,25,TOT,23,0,12.2,1.3,3.3,.413,1.0,2.7,.355,0.4,0.6,.692,.560,0.3,0.3,.857,0.8,1.7,2.5,0.5,0.1,0.4,0.2,1.0,3.9
95,Gary Clark\clarkga01,PF,25,HOU,18,0,11.8,1.3,3.3,.390,1.0,2.8,.353,0.3,0.4,.625,.542,0.3,0.4,.857,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9
95,Gary Clark\clarkga01,PF,25,ORL,5,0,13.8,1.6,3.2,.500,0.8,2.2,.364,0.8,1.0,.800,.625,0.0,0.0,,1.6,2.0,3.6,0.0,0.0,0.4,0.4,0.4,4.0
96,Brandon Clarke\clarkbr01,PF,23,MEM,42,2,21.7,5.1,8.1,.626,0.4,1.1,.400,4.7,7.1,.660,.652,1.5,1.9,.833,1.3,4.4,5.8,1.5,0.5,0.9,0.9,1.7,12.2
97,Jordan Clarkson\clarkjo01,SG,27,TOT,46,0,23.8,5.1,11.5,.443,2.0,5.6,.352,3.2,6.0,.529,.528,2.1,2.6,.831,0.7,1.8,2.5,2.0,0.6,0.3,1.2,1.3,14.3
97,Jordan Clarkson\clarkjo01,SG,27,CLE,29,0,23.0,5.0,11.2,.442,2.0,5.5,.371,2.9,5.8,.509,.532,2.6,3.0,.884,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6
